id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
346183,2960 Ca Frari ( 7 beds ) wifi. a.c.,1755160,Davide,Isole,San Polo,45.43774,12.32367,Entire home/apt,110,2,84,2019-10-04,1.89,2,308
346257,CA' ZUANE - Biennale - free wi-fi,1755413,Davide,Isole,Castello,45.4305,12.35809,Entire home/apt,110,3,36,2019-11-18,0.83,3,290
347347,La Terrazza by Residenza Giacomuzzi,1493787,Marta E Dario,Terraferma,San Lorenzo XXV Aprile,45.49391,12.24297,Entire home/apt,70,2,11,2019-08-31,0.12,3,0
348409,"SanMarco, 120mq the heart of Venice with terrace",1765622,Sebastiano,Isole,San Marco,45.43481,12.33575,Entire home/apt,266,3,89,2019-10-31,1.95,1,289
352392,SPLENDID STAR SAN MARCO SQUARE,1784535,Monica,Isole,San Marco,45.43601,12.33904,Entire home/apt,170,2,128,2020-01-02,2.13,4,52
356388,Casanova's room,642936,Maria,Isole,Santa Croce,45.43943,12.32267,Private room,79,2,340,2020-01-02,3.61,2,346
357073,EXCLUSIVE | MURANO Suites - ACQUAMARE,1567140,Elodie,Isole,Murano,45.45717,12.35347,Entire home/apt,135,1,270,2019-12-27,2.88,5,230
358332,FEW STEPS FROM SAN MARCO- BLUE CANAL VIEW,1813795,Maura,Isole,Castello,45.43509,12.34168,Private room,69,1,425,2019-11-03,4.53,3,290
359868,CONVENIENT APARTMENT FOR VENICE-FREE PARKING,1651523,Lorenzo,Terraferma,Bissuola,45.49602,12.26101,Entire home/apt,65,2,415,2019-11-01,4.39,3,7
360544,a stone's throw from Frari church,1823471,Michele,Isole,San Polo,45.43602,12.3288,Entire home/apt,85,3,342,2019-10-31,3.63,2,119
365973,Santa Margherita Big House Venice,1784566,Nicola And Maria Chiara,Isole,Dorsoduro,45.4343,12.32639,Entire home/apt,230,4,51,2019-10-28,0.58,2,163
