id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9718404,"Gorgeous house, tropical vista heart of Prahran",14354800,Danielle,,Stonnington,-37.85571,145.00512,Entire home/apt,295,5,2,2019-01-02,0.04,2,350
9718690,Elwood unit not far from the beach,49524193,Kirsten & John,,Port Phillip,-37.88491,144.99149,Entire home/apt,129,7,5,2018-10-01,0.10,1,0
9720592,Spacious bungalow close to the CBD,26809892,Sonia,,Moreland,-37.75361,144.9353,Entire home/apt,121,2,18,2019-12-27,0.42,1,223
9720860,Sunny & comfortable modern apt,2263867,Anna,,Yarra,-37.79983,145.00177,Entire home/apt,110,50,21,2019-10-06,0.42,1,215
9722796,Quiet two bedroom near beach.,21351096,Trevor,,Kingston,-38.0409,145.13144,Entire home/apt,129,5,17,2019-01-27,0.56,2,0
9723049,Modern bright master room for rent,50077260,Bingming,,Port Phillip,-37.85823,144.98411,Private room,55,2,103,2020-01-28,2.02,2,348
9733385,"Bright, spacious and eclectic room",7784483,Hilary,,Moreland,-37.76092,144.95829,Private room,121,2,14,2018-06-08,0.28,2,0
9734834,Nelsey's in Healesville,50228571,Janelle,,Yarra Ranges,-37.66468,145.51492,Entire home/apt,85,1,585,2020-02-10,11.46,1,309
9735110,Treetops home,8594643,Rachel,,Yarra Ranges,-37.79174,145.35756,Private room,180,1,0,,,1,0
9736057,"Stylish, Spacious 4bed/ 2bth home. Great location",39284596,Erynn,,Darebin,-37.7774,145.0157,Entire home/apt,339,5,73,2020-01-08,1.46,2,319
9736427,"Spacious, Stylish House with Private Courtyard near Shops, Cafes, Beach and Tram",2136236,Gary,,Port Phillip,-37.85106,144.96088,Entire home/apt,235,3,56,2020-01-07,1.19,6,335
9737287,"Bright sunny apartment, tram to Chapel or St Kilda",50238763,Joey,,Glen Eira,-37.86954,145.02036,Private room,36,1,6,2017-12-06,0.12,1,0
9738142,Prahran Perfect - 2 Bed 1BR Private,38652804,Jonathan,,Stonnington,-37.85312,145.0039,Private room,121,2,0,,,2,44
9738381,Stylish Apartment with Balcony Views,6397162,Monika,,Melbourne,-37.81336,144.96924,Entire home/apt,170,3,113,2020-01-21,2.22,1,294
9739123,Seasidespa Retreat Pool View Apartment,40242016,Jillian,,Kingston,-38.01873,145.09822,Entire home/apt,310,1,7,2020-02-15,0.29,3,180
9739392,Collinsaccommodation Disabled facilites 2B 2Barth,50250360,Ben & Belinda,,Melbourne,-37.81941,144.95594,Entire home/apt,225,2,18,2019-08-12,0.36,1,321
9739502,Courtyard Spa Apartment,40242016,Jillian,,Kingston,-38.01868,145.09803,Entire home/apt,290,1,5,2018-08-26,0.14,3,176
9740275,1 BDRM in Burnley,13252672,Sophie,,Yarra,-37.82974,145.00777,Entire home/apt,91,2,3,2016-02-12,0.06,2,140
9740823,BEAUTIFUL ROOM with BEST BREAKFAST in FITZROY!!!!,11925112,David & Ong & Jordan!,,Yarra,-37.79437,144.98125,Private room,85,2,192,2020-02-01,3.83,2,351
9741032,stylish 1 bedroom apartment with garden,17586181,Ricky,,Moonee Valley,-37.77789,144.93337,Entire home/apt,180,4,15,2018-01-29,0.30,1,0
9741881,David,50261123,David,,Melbourne,-37.81508,144.97683,Entire home/apt,129,21,1,2016-02-02,0.02,1,0
9741999,Sunny Beachside Apartment,5958889,Cara,,Port Phillip,-37.87027,144.97562,Entire home/apt,149,2,0,,,2,0
9742023,The Gallery B&B Olinda,50261811,Rhonda,,Yarra Ranges,-37.86677,145.37777,Entire home/apt,275,2,12,2019-11-08,0.25,1,294
9742120,"2BR apartment, pool + gym",10953263,Mike,,Melbourne,-37.81069,144.98484,Entire home/apt,159,2,7,2017-01-29,0.14,1,0
9744556,Stylish and modern accommodation inner north,3231221,Osk,,Moreland,-37.77812,144.97301,Entire home/apt,176,2,2,2019-11-10,0.09,1,10
9760194,DreamHost at Carlson View 9,50335286,DreamHost,,Melbourne,-37.81154,144.96099,Entire home/apt,198,2,85,2019-12-22,1.69,16,244
9760613,Bright & Spacious Melbourne Studio!,50336748,Mj,,Boroondara,-37.82561,145.04521,Private room,51,1,0,,,1,0
9760702,Quiet in the centre of the city,50337056,Daniel,,Melbourne,-37.82463,144.96748,Private room,74,1,0,,,2,0
9761258,A home away from home!,20053328,Antarcia,,Moonee Valley,-37.74974,144.90937,Entire home/apt,189,3,113,2020-01-22,2.27,2,159
9761640,Large double room,50340854,Diego,,Melbourne,-37.8053,144.96148,Private room,70,12,0,,,2,0
9761929,Open Warehouse Apartment,50342097,Stephen,,Yarra,-37.79565,144.98134,Entire home/apt,180,3,0,,,1,0
9763919,Amazing apartment great location,15976039,Cameron,,Stonnington,-37.84696,144.9894,Entire home/apt,144,2,1,2016-01-03,0.02,1,0
